Source,Prediction,Reference
"within a month, his depression was gone.","trong vòng một tháng, trầm cảm của anh ấy đã biến mất.","trong một tháng, anh ta hết bị trầm cảm."
"Now, it took us a long time, and we were graduate students in anthropology.","Bây giờ, chúng tôi mất một thời gian dài, và chúng tôi là học sinh tốt nghiệp khoa học.","Sau một thời gian, chúng tôi tốt nghiệp chuyên ngành nhân chủng học."
into the next seven generations.,vào bảy thế hệ tiếp theo.,truyền tới các thế hệ con cháu sau này.
"The Folketing cancelled some of its regular meetings and hearings, and when voting a clearing system will be used to avoid having more than 95 members in the main chamber at any one time.","Người ta đã hủy một số cuộc họp và lễ nghe thường xuyên của họ, và khi bỏ phiếu hệ thống sạch sẽ được sử dụng để tránh có hơn 95 thành viên trong phòng chính vào bất kỳ lúc nào.","Folketing (Quốc hội Đan Mạch) đã hủy một số cuộc họp và phiên điều trần thường xuyên của họ, và khi bỏ phiếu, một hệ thống thanh toán bù trừ sẽ được sử dụng để tránh có hơn 95 thành viên trong phòng chính bất cứ lúc nào."
Russia 's president touched on the potential instability of North Korea .,Tổng thống Nga đã đối mặt với sự tổn thất tiềm ẩn của Bắc Triều Tiên .,Tổng thống Nga đề cập đến bất ổn có thể xảy ra về Bắc Triều Tiên .
I'm going to talk about the overall value of a company --,Tôi sẽ nói về giá trị tổng quát của một công ty --,Tôi sẽ nói về giá trị tổng thể của một công ty --
You seem happy today.,Hôm nay bạn có vẻ hạnh phúc.,Hôm nay cậu có vẻ vui nhỉ.
"And it is that promise that , 45 years ago today , brought Americans from every corner of this land to stand together on a Mall in Washington , before Lincoln 's Memorial , and hear a young preacher from Georgia speak of his dream .","Và ngày hôm nay , lời hứa rằng , 45 năm trước , đã mang người Mỹ từ mọi góc đất này đứng cùng nhau trên một trung tâm thương mại ở Washington , trước khi Lincoln tưởng niệm của Georgia , và nghe một người trẻ từ Georgia nói về giấc mơ của mình .","Và đó chính là lời hứa đó cách đây bốn mươi lăm năm , đưa các người Mỹ từ mọi nơi trong xứ sở này để đứng lại với nhau trên phố buôn bán lớn ở Washington , trước đài tưởng niệm Lincoln , và nghe nhà truyền giáo trẻ từ Georgia nói đến giấc mơ của anh ấy ."
"The marketing profession has tried for years to quantify customer satisfaction in a way that lends itself to clarifying a brand 's equity , or worth .","Nghề marketing đã cố gắng trong nhiều năm để đánh giá sự hài lòng của khách hàng theo cách để tự định rõ sự tài trợ của thương hiệu , hoặc giá trị .",Giới tiếp thị trong nhiều năm đã cố gắng định lượng sự hài lòng của khách hàng theo cách thích hợp với việc làm sáng tỏ giá trị hay vốn của thương hiệu .
"The country has become a standout(4) in a region where the world’s export engines are largely hurting amid trade-war tensions and a slowing electronics cycle, the report added.","Báo cáo cho biết thêm, quốc gia này đã trở thành một vùng đang nổi bật trong khu vực mà các động cơ xuất khẩu thế giới phần lớn bị ảnh hưởng trong bối cảnh căng thẳng thương mại và chu kỳ điện tử chậm lại.","Báo cáo cho biết thêm: “Việt Nam trở nên nổi bật giữa một khu vực có hoạt động xuất khẩu đang chịu ảnh hưởng nặng nề từ chiến tranh thương mại Mỹ – Trung, cũng như chu kỳ tăng trưởng đối với hàng điện tử đang chậm lại.”"
Your depressed friends could be a good source of free labor --,Bạn bè bị trầm cảm có thể là nguồn lao động tự do --,Người bạn bị trầm cảm có thể là nhân lực miễn phí đấy.
I wonder if this is some sort of scam.,Tôi tự hỏi liệu đây là một loại lừa đảo nào.,Tôi tự hỏi không biết đây có phải là một âm mưu gì không.
"Resistance bands , which are like big rubber bands , are a great way to help build your strength without putting too much strain on your muscles .","Các cỗ sợi , giống như các cỗ sợi lớn , là một cách tuyệt vời để giúp xây dựng sức mạnh của bạn mà không cần đặt quá nhiều sức mạnh lên cơ .","Các sợi dây kéo cơ , giống như những sợi băng cao su lớn , cũng có tác dụng rất tốt giúp tăng cường sức mạnh mà không làm cơ của bạn căng nhiều quá ."
"Amazon state officials have declined to comment, saying that a formal proposal had not been made.","Các quan chức của bang Amazon đã từ chối bình luận, nói rằng một đề xuất chính thức đã không được thực hiện.","Các quan chức bang Amazon từ chối bình luận, họ cho biết chưa có đề xuất chính thức nào được đưa ra cả."
how the specialized dinosaur lung helped them take over the planet.,cách mà phổi khủng long chuyên dụng giúp họ lấy hành tinh này.,tại sao lá phổi độc đáo lại giúp chúng trở thành kẻ thống trị.
He was terribly poor when he was young.,Anh ấy rất nghèo khi còn trẻ.,Cậu ta rất nghèo lúc còn trẻ.
"Without me , the earth would be as empty as the moon .","Nếu không có tôi , Trái Đất sẽ không được nằm trên mặt trăng .","Không có tôi , trái đất sẽ trơ trọi như mặt trăng ."
to talk about the importance of science.,để nói về tầm quan trọng của khoa học.,để nói về tầm quan trọng của khoa học.
"For example, a touch panel made for a tailor would look like this,","Ví dụ, một bảng chạm được tạo ra cho một người thợ sẽ trông giống như thế này,","Ví dụ, bảng điều khiển cảm ứng cho một thợ may nhìn sẽ như thế này,"
without disrupting the rest of the gene.,mà không làm tăng sự còn lại của gen.,mà không làm gián đoạn phần còn lại của gen.
"I have a realization that white supremacy is there,","Tôi nhận ra rằng sự tự trị trắng ở đó,","Tôi nhận ra rằng ưu thế của người da trắng ở đó,"
"It uses the dark palette of greens and browns, typical of Van Gogh's early work, with touches of green and red in the painting indicating that winter has passed and spring has begun.","Nó sử dụng số lượng xanh và nâu, đặc biệt trong công việc đầu tiên của Van Gogh, với những sự chạm vào xanh và đỏ trong bức tranh cho thấy mùa đông đã qua và mùa xuân đã bắt đầu.","Nó sử dụng bảng màu tối của màu xanh lá cây và màu nâu, điển hình của các tác phẩm đầu tiên của Van Gogh, với những điểm nhấn màu xanh lá cây và đỏ trong bức tranh cho thấy mùa đông đã qua và mùa xuân đã bắt đầu."
"In all, the total number of laboratory-confirmed cases in China increased to 571 and the death toll to 17.","Tất cả, tổng số trường hợp được xác nhận trong phòng thí nghiệm ở Trung Quốc tăng lên 571 và số người chết lên 17.","Tổng cộng, có 571 trường hợp được xác nhận trong phòng thí nghiệm và 17 người chết ở Trung Quốc."
"My unfocused , sleep-filled eyes created a halo around each light , amplifying and warming it .","Mắt tôi không tập trung , những mắt lặp đi lặp lại tạo ra một ánh sáng quanh mọi ánh sáng , tạo nên và ấm nó .","Đôi mắt mơ màng và không tập trung của tôi tạo ra ánh hào quang quanh mỗi bóng đèn , khuếch đại và làm cho nó ấm lên ."
Diagnosis : Pelvic exam,Chẩn đoán : Kiểm tra lớp mạch,Chẩn đoán bệnh bằng cách khám khung chậu
"The government also declared the closing of several venues to limit the possible spread of the virus, including several entertainment venues and planned Lunar New Year performances.","Chính phủ cũng tuyên bố đóng cửa một số địa điểm để hạn chế sự lây lan có thể có của virus, bao gồm một số địa điểm giải trí và kế hoạch hoạt động Ngày Tết Nguyên Đán.","Chính phủ cũng tuyên bố đóng cửa một số địa điểm để hạn chế sự lây lan của virus, bao gồm một số địa điểm giải trí và các buổi biểu diễn vào Tết Nguyên đán."
"Iqbal Khan , a government official , said the attack occurred as a convoy passed through a bazaar in Bara .","Iqbal Khan , một quan chức chính phủ , cho biết cuộc tấn công xảy ra khi một tàu đoàn truyền qua một tiệm ở Bara .","Iqbal Khan , một quan chức chính phủ , cho biết cuộc tấn công này xảy ra khi đoàn hộ tống đi qua chợ ở Bara ."
"On 5 March, the third confirmed New Zealand case and the first case of local transmission was reported.","Vào ngày 5 tháng 3, trường hợp thứ ba được xác nhận và trường hợp lây truyền tại địa phương đã được báo cáo.","Vào ngày 5 tháng 3, trường hợp thứ ba được xác nhận ở New Zealand và trường hợp truyền bệnh địa phương đầu tiên đã được báo cáo."
and again at the turn of the millennium.,và một lần nữa vào lúc lần đầu thế kỷ.,và một lần nữa vào đầu thiên nhiên kỉ.
"Within those categories, there are specific types","Trong các loại này, có những loại cụ thể",Mỗi phạm trù lại có một loại
"and I had always wanted to be a teacher,","và tôi luôn muốn trở thành một giáo viên,","và tôi luôn muốn trở thành một giáo viên,"
"A noodle vendor would not consider a stall selling sticky rice “essential,” and vice versa.",Một nhà cung cấp gạo sẽ không xem xét một tiệm bán gạo lức nặng “cần thiết” và phản ứng lại.,Một người bán mỳ sẽ không coi một sạp bán xôi là “thiết yếu” và ngược lại.
because it will sear itself into your brain,bởi nó sẽ tự nhìn thấy bản thân mình vào não bạn,vì nó sẽ in vào não bạn
